symbol,tipo
REKR,ACCION
REMX,ETF
RERE,ACCION
RGLD,ACCION
RGTI,ACCION
RIO,ACCION
RIOT,ACCION
RIVN,ACCION
RKLB,ACCION
RKT,ACCION
ROST,ACCION
RR,ACCION
RSP,ETF
RTX,ACCION
RXRX,ACCION
S,ACCION
SAP,ACCION
SATL,ACCION
SAVA,ACCION
SBET,ACCION
SBUX,ACCION
SCHD,ETF
SCHW,ACCION
SE,ACCION
SEG,ACCION
SERV,ACCION
SGOV,ETF
SH,ETF
SHEL,ACCION
SHOP,ACCION
SHV,ETF
SHY,ETF
SHYG,ETF
SID,ACCION
SIL,ETF
SIRI,ACCION
SJNK,ETF
SKE,ACCION
SKY,ACCION
SLB,ACCION
SLV,ETF
SM,ACCION
SMCI,ACCION
SMH,ETF
SMR,ACCION
SNAP,ACCION
SNDK,ACCION
SNDL,ACCION
SNOW,ACCION
SOC,ACCION
SOFI,ACCION
SONY,ACCION
SOUN,ACCION
SOXL,ETF_APALANCADO
SOXX,ETF
SOYB,ETF
SPCE,ACCION
SPG,ACCION
SPHD,ETF
SPLV,ETF
SPOT,ACCION
SPXL,ETF_APALANCADO
SPXS,ETF_APALANCADO
SPY,ETF
SPYD,ETF
SPYG,ETF
SPYM,ETF
SQM,ACCION
SQQQ,ETF_INVERSO
SRET,ETF
SSO,ACCION
SSRM,ACCION
STLA,ACCION
STM,ACCION
STNE,ACCION
STRL,ACCION
STX,ACCION
STZ,ACCION
SUPV,ACCION
SYM,ACCION
SYY,ACCION
SYZ,ACCION
T,ACCION
TAC,ACCION
TAP,ACCION
TBCH,ACCION
TCOM,ACCION
TCPC,ACCION
TDOC,ACCION
TEAM,ACCION
TECK,ACCION
TEM,ACCION
TEO,ACCION
TER,ACCION
TGS,ACCION
TGT,ACCION
TIGR,ACCION
TJX,ACCION
TLH,ETF
TLRY,ACCION
TLT,ETF
TM,ACCION
TMDX,ACCION
TMF,ETF_APALANCADO
TMO,ACCION
TMUS,ACCION
TORO,ACCION
TQQQ,ETF_APALANCADO
TRMD,ACCION
TS,ACCION
TSLA,ACCION
TSLL,ETF_APALANCADO
TSM,ACCION
TTD,ACCION
TTWO,ACCION
TWST,ACCION
TX,ACCION
TXG,ACCION
U,ACCION
UA,ACCION
UAA,ACCION
UAVS,ACCION
UBER,ACCION
UBT,ACCION
UCO,ETF
UDOW,ACCION
UEC,ACCION
UFO,ETF
UGL,ETF_APALANCADO
UL,ACCION
ULTA,ACCION
UNG,ETF
UNH,ACCION
UNP,ACCION
UP,ACCION
UPS,ACCION
UPST,ACCION
URA,ETF
URE,ETF_APALANCADO
USAR,ACCION
USMV,ETF
USO,ETF
UUP,ETF
UUUU,ACCION
V,ACCION
VALE,ACCION
VCIT,ETF
VEA,ETF
VEGI,ETF
VFC,ACCION
VG,ACCION
VGT,ETF
VHT,ETF
VICI,ACCION
VIG,ETF
VIRT,ACCION
VIST,ACCION
VKTX,ACCION
VNQ,ETF
VOD,ACCION
VOO,ACCION
VRSN,ACCION
VRT,ACCION
VRTX,ACCION
VSNT,ACCION
VST,ACCION
VT,ETF
VTI,ETF
VUG,ETF
VUZI,ACCION
VWO,ETF
VXX,ACCION
VYM,ETF
VZ,ACCION
WB,ACCION
WBD,ACCION
WDC,ACCION
WEAT,ACCION
WEN,ACCION
WEX,ACCION
WFC,ACCION
WGS,ACCION
WKEY,ACCION
WM,ACCION
WMT,ACCION
WPC,ACCION
WPM,ACCION
WU,ACCION
WULF,ACCION
XAR,ETF
XBI,ETF
XFOR,ACCION
XLB,ACCION
XLC,ACCION
XLE,ETF
XLF,ETF
XLI,ETF
XLK,ETF
XLP,ACCION
XLRE,ACCION
XLU,ETF
XLV,ETF
XLY,ETF
XME,ETF
XOM,ACCION
XP,ACCION
XPEV,ACCION
XRT,ETF
XRX,ACCION
XSHD,ETF
XYZ,ACCION
YINN,ETF_APALANCADO
YPF,ACCION
YUMC,ACCION
ZETA,ACCION
ZIM,ACCION
ZM,ACCION
ZROZ,ETF
ZS,ACCION
ZTS,ACCION
